# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	ENSG00000128274	ENST00000249005	protein_coding	0	2	1	45	1	0	0	0	0	0	0	21	0	5	1	0	0	0	0	0	0	0	0	0	2	18
A4GALT	ENSG00000128274	ENST00000381278	protein_coding	0	2	1	45	1	0	0	0	0	0	0	21	0	5	1	0	0	0	0	0	0	0	0	0	2	18
A4GALT	ENSG00000128274	ENST00000401850	protein_coding	0	2	1	44	1	0	0	0	0	0	0	21	0	2	1	0	0	0	0	0	0	0	0	0	2	20
A4GALT	ENSG00000128274	ENST00000465765	processed_transcript	0	1	0	114	0	0	0	0	0	0	0	13	0	86	0	3	0	0	0	1	0	0	0	0	0	13
A4GALT	ENSG00000128274	ENST00000483026	processed_transcript	0	0	0	42	0	0	0	0	0	0	0	19	0	2	0	3	0	0	0	0	0	0	0	0	0	18
ABCD1P4	ENSG00000225293	ENST00000399687	unprocessed_pseudogene	0	0	0	38	0	0	0	0	0	0	0	22	0	3	0	2	0	0	0	0	0	0	0	0	0	11
ABHD17AP4	ENSG00000229107	ENST00000411545	processed_pseudogene	0	0	0	21	0	0	0	0	0	0	0	5	0	5	0	1	0	0	0	0	0	0	0	0	0	10
ABHD17AP5	ENSG00000263366	ENST00000580133	processed_pseudogene	0	0	0	68	0	0	0	0	0	0	0	20	0	25	0	10	0	0	0	0	0	0	0	0	0	13
AC000035.3	ENSG00000282816	ENST00000634116	antisense	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AC000036.4	ENSG00000225929	ENST00000449652	antisense	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AC000041.10	ENSG00000274457	ENST00000619824	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC000041.8	ENSG00000242156	ENST00000439655	unprocessed_pseudogene	0	0	0	36	0	0	0	0	0	0	0	27	0	8	0	0	0	0	0	0	0	0	0	0	0	1
AC000067.1	ENSG00000225007	ENST00000452326	lincRNA	0	0	0	35	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	32
AC000068.10	ENSG00000273212	ENST00000608816	antisense	0	0	0	16	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AC000068.5	ENSG00000185065	ENST00000431090	antisense	0	0	0	13	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AC000068.9	ENSG00000273300	ENST00000607934	antisense	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	5
AC000077.2	ENSG00000230485	ENST00000420012	processed_pseudogene	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	2
AC000078.5	ENSG00000232926	ENST00000420617	processed_pseudogene	0	0	0	16	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AC000089.3	ENSG00000235776	ENST00000424559	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC000095.11	ENSG00000273164	ENST00000609839	sense_intronic	0	0	0	54	0	0	0	0	0	0	0	27	0	0	0	5	0	0	0	0	0	0	0	0	0	22
AC000095.12	ENSG00000283366	ENST00000424407	processed_transcript	0	0	0	34	0	0	0	0	0	0	0	9	0	22	0	2	0	0	0	0	0	0	0	0	0	1
AC000095.12	ENSG00000283366	ENST00000637415	transcribed_unprocessed_pseudogene	0	0	0	21	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	10
AC000095.9	ENSG00000270393	ENST00000603208	processed_pseudogene	0	0	0	39	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	0	25
AC002056.3	ENSG00000213683	ENST00000395613	processed_pseudogene	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8
AC002056.5	ENSG00000254499	ENST00000532913	antisense	0	0	0	11	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	6
AC002059.10	ENSG00000273216	ENST00000608014	sense_intronic	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	2
AC002472.11	ENSG00000226872	ENST00000450652	antisense	0	0	0	37	0	0	0	0	0	0	0	3	0	27	0	2	0	0	0	0	0	0	0	0	0	5
AC004019.10	ENSG00000229492	ENST00000455617	processed_pseudogene	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	10
AC004019.13	ENSG00000236754	ENST00000443935	antisense	0	0	0	8	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	1
AC004019.13	ENSG00000236754	ENST00000611039	antisense	0	0	0	6	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AC004461.4	ENSG00000237347	ENST00000412461	processed_pseudogene	0	0	0	35	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	20
AC004471.10	ENSG00000272682	ENST00000609936	lincRNA	0	0	0	32	0	0	0	0	0	0	0	12	0	7	0	8	0	0	0	0	0	0	0	0	0	5
AC004471.9	ENSG00000223461	ENST00000456035	antisense	0	0	0	39	0	0	0	0	0	0	0	19	0	8	0	0	0	0	0	0	0	0	0	0	0	12
AC005300.5	ENSG00000236325	ENST00000428401	processed_pseudogene	0	0	0	21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	15
AC005301.8	ENSG00000235343	ENST00000422917	lincRNA	0	0	0	26	0	0	0	0	0	0	0	16	0	1	0	1	0	0	0	0	0	0	0	0	0	8
AC005301.9	ENSG00000283633	ENST00000588548	lincRNA	0	0	0	29	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	13
AC005301.9	ENSG00000283633	ENST00000591299	lincRNA	0	0	0	51	0	0	0	0	0	0	0	10	0	29	0	3	0	0	0	0	0	0	0	0	0	9
AC005301.9	ENSG00000283633	ENST00000592107	lincRNA	0	0	0	52	0	0	0	0	0	0	0	10	0	29	0	4	0	0	0	0	0	0	0	0	0	9
AC005301.9	ENSG00000283633	ENST00000592918	lincRNA	0	0	0	52	0	0	0	0	0	0	0	10	0	29	0	4	0	0	0	0	0	0	0	0	0	9
AC006547.13	ENSG00000236540	ENST00000415503	antisense	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000595864	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006547.13	ENSG00000236540	ENST00000596334	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006547.13	ENSG00000236540	ENST00000598339	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006547.13	ENSG00000236540	ENST00000600617	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006547.13	ENSG00000236540	ENST00000600937	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006547.13	ENSG00000236540	ENST00000601746	antisense	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
