genotype,summary
Rs1799853,[]
Rs1006615,[u'common in clinvar']
Rs1045385,[u'common in complete genomics']
Rs1041988,[u'normal']
Rs10187654,[u'common in complete genomics']
Rs1042395,[u'common in clinvar']
Rs1045642,"[u'increased risk of cannabis dependence, lower (normal) cancer risk']"
Rs10239794,[u'&gt;1.3x risk for ALS']
Rs1047552,[u'1.6x higher atherosclerosis risk only in males']
Rs1001021,[u'common in complete genomics']
Rs104886092,[u'common in clinvar']
Rs10008492,[u'normal']
Rs1013579,[]
Rs10413089,[u'susceptibility to low HDL-cholesterol']
Rs10484854,[]
Rs1042393,[u'common in clinvar']
Rs1047031,[u'1.3x increased risk for periodontitis']
Rs1042865,[u'common in complete genomics']
Rs10250779,[u'normal']
Rs1004819,"[u""1.5x risk of Crohn's disease""]"
Rs1004467,[]
Rs104886159,[u'common in clinvar']
Rs10427255,[u'highest odds of photic sneeze reflex']
Rs10130695,[]
Rs10034228,[]
Rs1042714,[u'normal']
Rs104886033,[u'common in clinvar']
Rs10244810,[u'common in complete genomics']
Rs104886049,[u'common in clinvar']
Rs104886050,[u'common in clinvar']
Rs1026732,[u'normal risk of restless leg syndrome']
Rs10026364,[u'common in complete genomics']
Rs104886043,[u'common in clinvar']
Rs10248420,[u'7x more likely to respond to certain antidepressants']
Rs1044394,[u'common in complete genomics']
Rs10088218,[u'0.5x decreased risk for ovarian cancer']
Rs10050860,[u'Half the risk (about 0.05%) of Ankylosing Spondylitis.']
Rs10008492,"[u""1.4x increased risk for Non-hodgkin's lymphoma""]"
Rs1028771,[u'common in complete genomics']
Rs10227893,[u'common in complete genomics']
Rs10484919,[u'common in complete genomics']
Rs10484554,[u'common']
Rs1042031,[u'common in clinvar']
Rs10133111,[u'common in complete genomics']
Rs10168266,"[u""normal risk of Sjogren's syndrome""]"
Rs10152591,[u'common on affy axiom data']
Rs104886140,[u'common in clinvar']
Rs104886084,[u'common in clinvar']
Rs104886069,[u'common in clinvar']
Rs104886042,[u'common in clinvar']
Rs1042725,[u'Average height']
Rs10096097,[u'normal Anorexia Nervosa risk']
Rs104886169,[u'common in clinvar']
Rs104886132,[u'common in clinvar']
Rs10260404,[u'1.20x risk of developing ALS']
